children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,purpose_short
1,-253.68516578402495,33,secondary education,1,civil partnership,1,F,employee,0,131812.20390893804,car purchase,car
1,-1766.6441376815046,24,secondary education,1,civil partnership,1,F,employee,0,149681.1407311689,buying a second-hand car,car
0,-272.9813850334044,21,masters degree,0,civil partnership,1,M,employee,0,128265.72087100228,to have a wedding,wedding
1,338551.95291136915,57,secondary education,1,unmarried,4,F,retiree,0,290547.2359974949,transactions with the residential real estate,estate
0,363548.4893483957,67,secondary education,1,married,0,M,retiree,0,55112.757731719255,buy real estate,estate
0,,41,secondary education,1,married,0,M,civil servant,0,,education,education
0,-529.1916346594236,28,masters degree,0,married,0,M,employee,0,308848.9836905699,construction of own property,property
1,-717.2743239418727,26,masters degree,0,married,0,F,employee,0,187863.2373059588,construction of own property,property
0,,63,secondary education,1,unmarried,4,F,retiree,0,,building a real estate,estate
1,335581.6685149753,62,secondary education,1,married,0,F,retiree,0,171456.06799338743,transactions with the residential real estate,estate
0,-1682.08343808475,47,primary education,3,married,0,F,employee,0,275485.684538057,housing,house
0,-4649.910831728614,34,SECONDARY EDUCATION,1,civil partnership,1,F,employee,1,139057.46420747985,having a wedding,wedding
0,-1548.63754364046,48,secondary education,1,married,0,F,partner,0,157245.78623254097,purchase of the house,house
0,-4488.067031277062,35,secondary education,1,married,0,F,employee,0,104660.44920263148,transactions with my real estate,estate
0,394021.0721837952,68,secondary education,1,civil partnership,1,M,retiree,0,77805.67743642293,having a wedding,wedding
0,-176.21668833712155,33,secondary education,1,unmarried,4,M,employee,0,138830.65073407194,cars,car
0,-6448.810859676204,43,MASTERS DEGREE,0,civil partnership,1,F,partner,0,154128.87867164516,car purchase,car
0,-597.8818273051091,25,masters degree,0,unmarried,4,M,employee,1,192247.29863931693,education,education
0,-650.5877964026586,31,masters degree,0,civil partnership,1,F,partner,0,754240.7972479195,to become educated,education
0,-1030.3626056014652,30,secondary education,1,unmarried,4,M,partner,0,142865.57914588266,buy real estate,estate
0,,50,secondary education,1,married,0,F,civil servant,0,,second-hand car purchase,car
0,-1257.4961901986044,20,bachelor degree,2,unmarried,4,F,employee,0,82065.08902109257,getting an education,education
0,-4375.681384360526,43,bachelor degree,2,divorced,3,F,partner,0,272957.1335085173,car purchase,car
1,-1362.0417275002387,26,SECONDARY EDUCATION,1,married,0,F,employee,0,100780.496748708,buying my own car,car
1,-1039.4517405766287,49,secondary education,1,unmarried,4,F,employee,0,106385.91972360344,to become educated,education
2,-2262.712303593806,37,secondary education,1,married,0,F,partner,0,182682.4598984296,second-hand car purchase,car
1,-2689.1372742032745,33,masters degree,0,civil partnership,1,M,civil servant,0,356277.90934547666,having a wedding,wedding
0,-3341.0678863600638,45,secondary education,1,married,0,F,employee,0,162065.5164499865,construction of own property,property
0,-1181.443228272809,54,secondary education,1,married,0,F,employee,0,44591.80688753629,car,car
0,353731.4323382981,63,secondary education,1,married,0,F,retiree,0,92342.73061169684,cars,car
1,-6953.631654563154,50,masters degree,0,civil partnership,1,F,employee,0,203199.6835687721,wedding ceremony,wedding
1,-3554.6715257531628,28,secondary education,1,married,0,F,employee,0,52746.4223236867,to get asupplementary education,education
0,-4219.88338560805,61,SECONDARY EDUCATION,1,divorced,3,F,partner,0,311453.5995296128,purchase of my own house,house
0,-3480.072792773725,27,masters degree,0,civil partnership,1,F,employee,0,92238.81311104933,cars,car
0,,54,secondary education,1,civil partnership,1,F,retiree,1,,to have a wedding,wedding
0,370145.0872371805,64,secondary education,1,widow / widower,2,F,retiree,0,149141.04353267475,education,education
0,-2424.809748937992,44,secondary education,1,widow / widower,2,F,employee,0,58616.40596004223,education,education
0,-335.31863038428764,36,masters degree,0,married,0,M,employee,0,414404.2028972774,property,property
0,-4341.7867754100425,53,secondary education,1,civil partnership,1,F,partner,0,261369.5064850721,real estate transactions,estate
1,-2534.462390327333,48,secondary education,1,married,0,M,employee,0,129902.28373544553,to become educated,education
0,-2986.20212028634,42,secondary education,1,civil partnership,1,F,employee,0,173987.4729290881,buy real estate,estate
0,-7845.6492334208915,48,Masters Degree,0,unmarried,4,M,civil servant,0,435388.1952724901,getting higher education,education
0,-1182.5477437277514,45,secondary education,1,married,0,F,employee,0,110004.35982164997,housing transactions,house
0,-118.89141142450092,35,bachelor degree,2,unmarried,4,M,employee,0,282900.4713076374,second-hand car purchase,car
0,,21,secondary education,1,unmarried,4,M,partner,0,,transactions with the residential real estate,estate
0,-916.4288292557608,28,secondary education,1,married,0,M,employee,0,145214.52360210626,to become educated,education
0,,52,masters degree,0,married,0,F,retiree,0,,purchase of the house for my family,house
2,-2152.475526346754,46,masters degree,0,married,0,M,partner,0,592071.4645709557,transactions with the residential real estate,estate
0,-779.2284491479346,23,secondary education,1,unmarried,4,F,employee,0,91247.05816440449,purchase of my own house,house
1,-2802.2266713967297,28,MASTERS DEGREE,0,married,0,M,civil servant,0,207561.4669982881,buy commercial real estate,estate
0,338113.5298924872,62,secondary education,1,married,0,F,retiree,0,43929.69639696845,cars,car
1,,32,masters degree,0,married,0,M,civil servant,0,,transactions with the residential real estate,estate
0,-1631.9394026219366,40,secondary education,1,civil partnership,1,M,employee,0,97946.84101113868,to become educated,education
1,-5110.54370925475,45,secondary education,1,married,0,F,employee,0,81142.78348993426,purchase of the house for my family,house
1,-2953.151947577933,38,secondary education,1,married,0,M,employee,1,81935.38150009303,real estate transactions,estate
1,-2252.1927219941026,44,masters degree,0,married,0,M,employee,0,148992.03001020846,buying a second-hand car,car
0,-726.9437706256638,43,masters degree,0,unmarried,4,F,employee,0,140843.97435987124,to own a car,car
0,359722.94507371227,61,masters degree,0,married,0,M,retiree,0,175127.64600043945,purchase of a car,car
0,-3278.296751179717,27,secondary education,1,unmarried,4,M,partner,0,253681.70989067023,cars,car
0,-127.33494240597255,25,secondary education,1,unmarried,4,F,partner,0,82740.41289886518,purchase of a car,car
0,-204.6731655316556,33,Secondary Education,1,married,0,F,employee,0,110833.2153688148,profile education,education
2,,50,masters degree,0,married,0,F,employee,0,,housing,house
0,,52,secondary education,1,married,0,M,employee,0,,housing,house
0,-7125.21502761462,53,secondary education,1,married,0,F,civil servant,0,255909.1728015964,transactions with my real estate,estate
0,-275.99384748839213,30,secondary education,1,married,0,M,employee,0,54123.55781196013,university education,education
0,383933.5496643384,64,secondary education,1,civil partnership,1,M,retiree,0,243033.4532808924,wedding ceremony,wedding
0,337659.5350035947,53,secondary education,1,married,0,F,retiree,0,74363.8565543125,buying property for renting out,property
0,373129.7896543124,63,masters degree,0,civil partnership,1,F,retiree,0,206872.3500608577,having a wedding,wedding
0,-72.62578520446468,42,secondary education,1,civil partnership,1,F,partner,0,49463.91938004758,second-hand car purchase,car
2,,35,masters degree,0,married,0,F,employee,0,,housing transactions,house
2,-5010.9974361252725,39,secondary education,1,married,0,F,employee,0,155886.85657536547,buy real estate,estate
1,-1669.2796814947967,40,masters degree,0,civil partnership,1,F,employee,0,191397.96274969063,to have a wedding,wedding
1,-1446.6225418245374,32,secondary education,1,married,0,M,employee,1,331139.5902983196,purchase of a car,car
1,,34,masters degree,0,civil partnership,1,F,partner,0,,having a wedding,wedding
0,-541.8322411633181,51,masters degree,0,married,0,F,employee,0,94187.8780821613,car,car
0,,44,SECONDARY EDUCATION,1,married,0,F,employee,0,,buy residential real estate,estate
0,,47,masters degree,0,married,0,F,employee,0,,profile education,education
0,364906.2057355492,54,masters degree,0,married,0,F,retiree,0,199707.2985241309,buying property for renting out,property
0,346541.6188949218,0,Secondary Education,1,married,0,F,retiree,0,71291.52249055503,car,car
0,-605.0264409707586,49,SECONDARY EDUCATION,1,widow / widower,2,F,employee,1,176384.8825358073,real estate transactions,estate
0,391558.9618490568,65,secondary education,1,married,0,F,retiree,0,157970.48639320125,buying my own car,car
0,-1377.4472350796152,51,secondary education,1,civil partnership,1,F,partner,0,126706.59851264796,buying a second-hand car,car
1,-888.2833470851367,39,SECONDARY EDUCATION,1,unmarried,4,F,employee,0,142231.48942162484,building a property,property
0,366323.6494289441,59,secondary education,1,unmarried,4,F,retiree,0,163581.95007326518,buying property for renting out,property
0,-2098.6262962257147,62,SECONDARY EDUCATION,1,widow / widower,2,F,employee,0,76884.18758751624,construction of own property,property
1,-300.64259328925505,29,secondary education,1,civil partnership,1,F,employee,0,171871.73288718596,education,education
0,-1493.4491168729676,24,masters degree,0,civil partnership,1,F,partner,0,202988.76912028992,construction of own property,property
2,-753.4670420858772,33,masters degree,0,civil partnership,1,F,employee,0,180051.75197761177,second-hand car purchase,car
0,-2147.472607702785,59,secondary education,1,married,0,F,employee,0,107643.67560995698,education,education
0,-413.9826020927449,41,secondary education,1,married,0,M,civil servant,0,118551.6078291152,purchase of the house,house
0,-12930.541677797675,61,secondary education,1,unmarried,4,F,partner,0,173896.61827401767,property,property
1,-1841.3580944791947,28,masters degree,0,married,0,M,employee,0,280934.30586873967,property,property
0,-6083.9947296293385,52,secondary education,1,married,0,F,civil servant,0,120655.0982583378,education,education
0,-1599.8791614370475,26,masters degree,0,married,0,F,employee,1,143471.7122774315,transactions with my real estate,estate
1,-2523.847898226973,38,masters degree,0,married,0,F,civil servant,0,97848.2766110214,transactions with the residential real estate,estate
1,-540.0384252136863,50,secondary education,1,married,0,M,employee,0,83366.31969915295,buy residential real estate,estate
0,-3817.113294534001,41,secondary education,1,divorced,3,F,employee,0,178975.13357434978,to buy a car,car
2,-2774.655137092032,33,secondary education,1,civil partnership,1,M,partner,0,113572.21337646277,having a wedding,wedding
0,382189.12905557256,60,secondary education,1,unmarried,4,F,retiree,0,31534.750497334928,buy commercial real estate,estate
0,,46,secondary education,1,married,0,F,employee,0,,university education,education
0,,29,masters degree,0,married,0,F,partner,0,,car,car
0,-171.1624207214407,55,MASTERS DEGREE,0,married,0,F,partner,0,103628.07085383665,cars,car
2,-5718.70890108714,39,Secondary Education,1,married,0,M,employee,0,83892.81598726273,buying property for renting out,property
0,-1080.514782425162,38,secondary education,1,married,0,F,employee,1,175046.42251455868,transactions with the residential real estate,estate
0,-191.1467457844417,64,masters degree,0,civil partnership,1,F,partner,0,186408.7418299351,wedding ceremony,wedding
1,-2471.5485518184228,49,secondary education,1,married,0,M,partner,0,339517.3610727709,construction of own property,property
0,-5229.55206892918,43,MASTERS DEGREE,0,unmarried,4,F,employee,0,203279.59982532423,building a real estate,estate
0,379035.9206190428,67,secondary education,1,divorced,3,F,retiree,0,112331.78706716756,purchase of a car,car
0,361010.32134996407,61,secondary education,1,civil partnership,1,M,retiree,0,103644.93254718713,car,car
0,-897.3228055367267,42,secondary education,1,married,0,F,partner,0,95845.74470717036,transactions with my real estate,estate
0,-639.5647075616622,58,secondary education,1,married,0,M,employee,0,73637.58619017908,to get asupplementary education,education
1,-1306.4284560155902,45,secondary education,1,married,0,M,employee,0,246227.99254138197,car,car
0,344507.39278483123,64,secondary education,1,married,0,F,retiree,0,79047.6530585805,education,education
1,-4171.107677064886,46,BACHELOR DEGREE,2,divorced,3,F,employee,0,166015.79050422882,buy residential real estate,estate
0,,27,secondary education,1,married,0,M,partner,0,,housing,house
0,357880.1593788016,60,primary education,3,married,0,M,retiree,0,113124.20278145476,transactions with my real estate,estate
1,-1910.0375923185568,28,masters degree,0,civil partnership,1,M,employee,0,269423.96295991854,to have a wedding,wedding
0,-2572.053172717263,43,secondary education,1,married,0,F,civil servant,0,119827.6542453248,purchase of my own house,house
0,-1765.5573866944574,29,bachelor degree,2,married,0,M,partner,0,196932.07728901436,property renovation,property
0,-3017.782065456124,24,secondary education,1,civil partnership,1,F,employee,0,102110.98914883527,buy commercial real estate,estate
0,,39,secondary education,1,civil partnership,1,M,employee,0,,wedding ceremony,wedding
0,347947.8355073804,54,secondary education,1,married,0,F,retiree,0,108280.64485742812,second-hand car purchase,car
0,-1893.2998286398856,48,secondary education,1,widow / widower,2,F,employee,0,151069.43847035486,construction of own property,property
1,-2105.382664335544,45,secondary education,1,civil partnership,1,F,employee,0,284248.0832952967,to own a car,car
0,,62,secondary education,1,married,0,M,retiree,0,,building a property,property
0,-1302.0260419746796,46,secondary education,1,married,0,F,employee,0,98709.73054718717,purchase of the house,house
0,-5772.479895574409,47,secondary education,1,married,0,F,civil servant,1,74535.09733065074,real estate transactions,estate
0,-5050.292839852283,37,secondary education,1,married,0,F,employee,0,145159.21497712686,buying my own car,car
0,-2664.273168317157,0,secondary education,1,divorced,3,F,employee,0,70176.43595051017,housing transactions,house
0,393711.519922678,71,secondary education,1,civil partnership,1,F,retiree,0,174088.29322065786,to have a wedding,wedding
0,-896.462371368615,37,masters degree,0,civil partnership,1,F,partner,0,463089.9792084557,to have a wedding,wedding
1,-3597.776387865821,39,secondary education,1,married,0,F,partner,0,40891.12824378687,purchase of my own house,house
1,-132.74853603066168,20,secondary education,1,married,0,M,partner,1,134750.74951489054,housing,house
1,-1803.9306052678608,41,masters degree,0,widow / widower,2,F,employee,0,143113.3292930616,transactions with the residential real estate,estate
0,-1208.5961786776136,40,secondary education,1,married,0,F,partner,0,70788.33944690305,supplementary education,education
0,362366.8571652186,65,Secondary Education,1,married,0,M,retiree,0,261291.0364533132,to get asupplementary education,education
0,348414.02800940943,38,secondary education,1,married,0,F,retiree,1,113560.65003534064,purchase of a car,car
0,-11001.589092067064,56,secondary education,1,married,0,F,employee,0,80547.23925773834,education,education
0,371052.6968127112,59,secondary education,1,unmarried,4,F,retiree,0,149542.8588742301,buying my own car,car
0,-2063.2234729922893,45,secondary education,1,civil partnership,1,M,employee,0,198386.798958856,buying property for renting out,property
1,-1147.591637441718,39,masters degree,0,married,0,F,employee,0,87107.11820547588,car purchase,car
0,-3755.843042173655,62,secondary education,1,married,0,M,employee,0,66577.61712641187,to get asupplementary education,education
0,-7473.902957321618,50,secondary education,1,married,0,M,employee,0,78975.57711163633,property renovation,property
2,-2357.523213608679,27,masters degree,0,married,0,F,employee,1,369587.0876962028,buying my own car,car
2,-1268.8706856224185,32,masters degree,0,married,0,M,civil servant,0,228289.248361869,purchase of the house,house
0,-450.0613423824006,38,Secondary Education,1,civil partnership,1,M,employee,0,144073.71137831223,housing transactions,house
0,-7219.276087439847,56,secondary education,1,civil partnership,1,F,civil servant,0,220719.05505659032,having a wedding,wedding
0,361970.2205052443,67,secondary education,1,widow / widower,2,F,retiree,0,139038.94464450798,purchase of my own house,house
0,372110.89295327937,58,secondary education,1,civil partnership,1,F,retiree,0,167861.70077631506,car purchase,car
0,-182.2267232528777,28,masters degree,0,unmarried,4,M,employee,0,121721.8927765662,housing,house
0,-9566.241471478188,60,secondary education,1,civil partnership,1,F,partner,0,225197.795335085,having a wedding,wedding
0,-4652.167869366604,49,secondary education,1,married,0,F,employee,0,182980.11560336116,building a property,property
0,-9099.945304784307,49,secondary education,1,married,0,M,partner,0,416461.874680372,buy commercial real estate,estate
0,,55,masters degree,0,widow / widower,2,F,partner,0,,to own a car,car
2,-1734.7410117276208,38,secondary education,1,married,0,F,employee,0,141210.68421368927,building a property,property
0,364178.2549302824,60,secondary education,1,married,0,F,retiree,0,104621.06741141542,going to university,education
2,-2109.314690632105,48,secondary education,1,married,0,M,civil servant,0,173074.19294233265,second-hand car purchase,car
0,395728.36139811255,59,secondary education,1,widow / widower,2,F,retiree,0,87268.77878594003,car purchase,car
0,-1177.0553834454738,43,secondary education,1,unmarried,4,F,employee,0,177790.01385692504,purchase of my own house,house
0,-60.6373275553343,37,secondary education,1,civil partnership,1,F,employee,0,212257.2125065801,to have a wedding,wedding
0,,26,secondary education,1,civil partnership,1,F,partner,1,,purchase of the house for my family,house
1,-8164.333209415941,49,secondary education,1,civil partnership,1,F,employee,0,81419.70340277969,wedding ceremony,wedding
1,-166.26503703628762,35,masters degree,0,civil partnership,1,M,partner,1,272193.00295690284,to get asupplementary education,education
0,369682.2227151696,57,masters degree,0,married,0,M,retiree,0,141337.86704165823,buying property for renting out,property
0,-5026.2294602728525,32,secondary education,1,civil partnership,1,M,employee,1,160905.70703999972,to get asupplementary education,education
0,-225.1236894800484,34,secondary education,1,divorced,3,F,employee,0,201650.35527091235,transactions with the residential real estate,estate
0,-876.8431101663022,46,masters degree,0,civil partnership,1,F,employee,0,260037.6656030533,university education,education
0,-99.19594695041458,48,secondary education,1,married,0,M,employee,0,173544.6795225835,purchase of my own house,house
1,,30,secondary education,1,unmarried,4,F,employee,0,,to own a car,car
0,-335.5229563354112,26,secondary education,1,civil partnership,1,M,partner,0,160891.47206000533,having a wedding,wedding
0,336562.0164318586,60,SECONDARY EDUCATION,1,married,0,F,retiree,0,173948.35223498062,university education,education
0,-2573.1367803783523,47,secondary education,1,married,0,M,employee,0,218442.0077563275,to own a car,car
0,386330.8511360464,60,masters degree,0,divorced,3,F,retiree,0,97191.99640027812,buying a second-hand car,car
0,-98.31216168444011,24,secondary education,1,civil partnership,1,M,partner,0,135860.8870305674,getting an education,education
0,-117.12788647939188,51,secondary education,1,married,0,F,employee,0,255838.3616801636,supplementary education,education
0,-1589.7814009573162,37,masters degree,0,married,0,F,partner,0,160754.5480823424,purchase of my own house,house
0,-12136.131380846336,59,masters degree,0,married,0,F,employee,0,140849.62459987565,buy real estate,estate
0,-1403.0808299019186,52,secondary education,1,unmarried,4,F,partner,0,139169.41346167913,buying my own car,car
1,-223.5470176888244,23,Secondary Education,1,widow / widower,2,F,employee,0,58549.627394318864,second-hand car purchase,car
0,-5532.372185033889,41,secondary education,1,civil partnership,1,F,employee,0,201126.0474025323,building a property,property
0,-6542.460790155981,39,secondary education,1,married,0,F,partner,0,86996.80722956106,buy residential real estate,estate
1,-1575.3235775718508,38,secondary education,1,married,0,F,employee,1,90960.94119189213,buy residential real estate,estate
0,-2829.665755236844,56,SECONDARY EDUCATION,1,married,0,M,employee,0,163774.77340601108,construction of own property,property
0,334637.4644627627,61,secondary education,1,married,0,F,retiree,0,181307.7994224636,building a real estate,estate
1,,31,masters degree,0,married,0,F,employee,0,,buying a second-hand car,car
0,363924.8816676821,54,Secondary Education,1,married,0,F,retiree,0,267172.7091996921,getting an education,education
0,-1352.3179068855802,37,secondary education,1,unmarried,4,F,employee,0,112735.87896430984,purchase of my own house,house
0,-749.1756772991432,22,secondary education,1,civil partnership,1,M,partner,0,162492.01844851565,profile education,education
2,-271.5705315052388,38,masters degree,0,married,0,F,employee,0,195133.38745708505,transactions with the residential real estate,estate
2,342167.21211236675,55,primary education,3,widow / widower,2,F,retiree,0,160635.12034694868,building a real estate,estate
0,-577.2734342991156,41,primary education,3,civil partnership,1,F,employee,0,36649.0784390092,second-hand car purchase,car
0,-5863.259029756954,48,masters degree,0,unmarried,4,M,civil servant,0,239697.6161592209,car purchase,car
1,-703.2435102199611,38,masters degree,0,civil partnership,1,M,employee,1,231389.8327944069,to buy a car,car
2,-1321.0792231329488,41,bachelor degree,2,married,0,F,employee,0,314546.9933727884,purchase of the house for my family,house
0,-79.88034967664467,42,masters degree,0,unmarried,4,F,partner,0,260465.3944997188,real estate transactions,estate
0,-356.1311943614808,22,masters degree,0,civil partnership,1,F,employee,0,118757.77013512445,education,education
0,384569.9216399707,54,secondary education,1,civil partnership,1,F,retiree,0,269589.0051292617,construction of own property,property
1,-2924.5983864777645,34,secondary education,1,married,0,F,employee,1,213214.0924519784,buying my own car,car
0,-597.2734021772915,21,bachelor degree,2,civil partnership,1,F,partner,0,86954.92246460478,transactions with the residential real estate,estate
1,,23,bachelor degree,2,civil partnership,1,F,partner,0,,to have a wedding,wedding
0,383772.1713231299,65,secondary education,1,widow / widower,2,F,retiree,0,178464.0801124702,cars,car
0,-145.541617523979,32,masters degree,0,married,0,M,partner,0,188982.6725700104,buy residential real estate,estate
0,337679.3582702238,61,secondary education,1,divorced,3,F,retiree,0,110251.170412476,transactions with the residential real estate,estate
2,-1024.9491604702278,41,secondary education,1,married,0,F,partner,0,94587.13139055832,purchase of my own house,house
0,-434.9313375154888,52,secondary education,1,married,0,F,employee,0,153892.26560479988,building a property,property
1,-2066.908426077889,30,secondary education,1,married,0,F,civil servant,0,132754.36261306456,getting higher education,education
1,-1588.8316419325315,64,masters degree,0,civil partnership,1,F,employee,0,142424.64353092152,housing,house
0,339193.0942916696,60,secondary education,1,unmarried,4,F,retiree,0,190426.12751817648,property renovation,property
0,336747.83528374555,73,secondary education,1,widow / widower,2,F,retiree,0,136897.0083753175,second-hand car purchase,car
1,-2049.211575996865,28,secondary education,1,civil partnership,1,M,partner,1,188585.6447572717,wedding ceremony,wedding
1,-144.18585382423603,41,SECONDARY EDUCATION,1,married,0,F,employee,1,112090.59753315602,purchase of the house for my family,house
0,-3803.807419355826,49,secondary education,1,civil partnership,1,F,employee,0,74616.8762361815,wedding ceremony,wedding
1,-1475.697490068114,50,secondary education,1,married,0,F,employee,0,143391.0714239233,to buy a car,car
0,-5865.31500734791,52,secondary education,1,unmarried,4,F,employee,0,140447.6939909726,profile education,education
0,-1031.9076040874072,50,secondary education,1,married,0,F,employee,0,125165.9401116094,housing,house
0,395825.13252984686,59,secondary education,1,married,0,F,retiree,0,142956.54589458782,to buy a car,car
2,-2585.402858170127,37,secondary education,1,married,0,M,employee,0,202689.7570034978,buy real estate,estate
0,-708.0735831904608,44,secondary education,1,civil partnership,1,F,employee,0,235437.4092191936,having a wedding,wedding
0,-5267.841785143054,43,secondary education,1,married,0,M,employee,0,436688.7692746029,real estate transactions,estate
0,-4973.641484774767,47,secondary education,1,widow / widower,2,F,partner,0,132797.24369500572,buy commercial real estate,estate
0,,47,secondary education,1,married,0,M,employee,0,,construction of own property,property
0,,58,secondary education,1,married,0,F,civil servant,0,,purchase of my own house,house
0,-464.6341336266803,49,masters degree,0,civil partnership,1,M,partner,0,383743.1531675507,wedding ceremony,wedding
0,-879.5873497728171,48,secondary education,1,civil partnership,1,F,employee,0,130945.6108646336,university education,education
0,-1933.31899355189,50,Secondary Education,1,divorced,3,M,employee,0,197169.81331307805,buy residential real estate,estate
1,-1598.8702140303076,40,secondary education,1,married,0,F,partner,0,158350.07693986595,building a property,property
1,,60,masters degree,0,married,0,F,retiree,1,,going to university,education
0,-3132.180734195495,31,secondary education,1,married,0,M,employee,0,259511.2005023471,buy residential real estate,estate
0,-1615.9148140204693,29,masters degree,0,married,0,F,employee,0,188190.33840575285,getting higher education,education
0,,54,masters degree,0,married,0,F,employee,0,,second-hand car purchase,car
0,380628.3793297923,71,secondary education,1,widow / widower,2,F,retiree,0,138877.16323401802,buy commercial real estate,estate
1,-5793.741211736386,35,secondary education,1,married,0,F,partner,0,230040.1246407123,purchase of the house,house
0,357915.03630280367,63,secondary education,1,widow / widower,2,F,retiree,0,91947.7686715459,getting higher education,education
2,-940.6004540822236,44,MASTERS DEGREE,0,married,0,F,partner,0,327126.7382980421,housing,house
0,-6373.865375741792,45,secondary education,1,married,0,M,employee,0,119879.15451388426,purchase of the house,house
0,-1681.6645489757752,52,secondary education,1,married,0,F,employee,0,82913.07958533696,supplementary education,education
0,-874.8530628222733,49,masters degree,0,married,0,M,employee,0,204544.9473772695,housing transactions,house
1,-930.0835695908776,47,secondary education,1,civil partnership,1,M,employee,0,149082.6978115048,wedding ceremony,wedding
0,-1611.5705027263714,29,masters degree,0,civil partnership,1,F,employee,0,211975.5093212032,wedding ceremony,wedding
1,-1710.1403339177082,29,secondary education,1,civil partnership,1,F,partner,0,286533.8601919884,purchase of the house for my family,house
0,-2658.4860825068777,51,secondary education,1,married,0,F,partner,0,143913.54889214569,housing transactions,house
0,-1617.8403552782231,44,secondary education,1,married,0,F,employee,0,168586.38983165554,buy real estate,estate
0,383664.7812096172,52,secondary education,1,married,0,F,retiree,0,75225.8329878206,building a real estate,estate
2,,40,secondary education,1,divorced,3,F,employee,0,,property,property
2,-2888.5517238004663,48,secondary education,1,married,0,M,partner,0,215985.44144559512,building a property,property
0,330174.4847063083,59,secondary education,1,married,0,F,retiree,0,93391.58176538996,property,property
0,333718.49112749967,68,Masters Degree,0,married,0,F,retiree,0,161112.5201914575,transactions with the residential real estate,estate
2,-2875.499547903885,29,masters degree,0,unmarried,4,M,employee,0,266641.9942621301,purchase of the house,house
2,-146.00066306283634,37,secondary education,1,married,0,F,employee,1,80334.09573086095,buying a second-hand car,car
3,-1872.663186426345,0,secondary education,1,married,0,F,employee,0,102166.4588936468,property renovation,property
0,348537.5001330709,66,secondary education,1,widow / widower,2,F,retiree,0,61441.44474867713,car,car
0,-5538.96373102039,35,primary education,3,civil partnership,1,M,employee,1,123814.07946812904,to become educated,education
0,396814.1840801792,57,secondary education,1,unmarried,4,F,retiree,0,90523.5355423185,going to university,education
2,-1945.3766760759029,25,secondary education,1,civil partnership,1,M,partner,0,330328.4946763029,to have a wedding,wedding
0,-1481.2761428816516,44,secondary education,1,married,0,F,employee,0,47871.33938374737,buy commercial real estate,estate
0,-8631.590122353682,64,secondary education,1,married,0,F,employee,0,160814.51199711685,property renovation,property
1,-2725.9705734796325,46,secondary education,1,civil partnership,1,M,employee,0,122263.2084960992,to have a wedding,wedding
1,,23,Secondary Education,1,civil partnership,1,F,employee,1,,car,car
0,,44,Secondary Education,1,civil partnership,1,F,employee,0,,transactions with my real estate,estate
0,,66,secondary education,1,married,0,F,retiree,0,,housing transactions,house
1,-1912.6526781783864,44,secondary education,1,married,0,M,partner,0,207375.3648413696,property renovation,property
2,-4016.445178900168,33,secondary education,1,married,0,M,employee,0,231068.86427388425,purchase of the house,house
0,384733.816032242,56,secondary education,1,widow / widower,2,F,retiree,0,162416.13776348683,buying my own car,car
0,-9488.078233698932,63,masters degree,0,married,0,F,employee,0,103078.01739352528,cars,car
